rcod_hogar,rcod_person,r6,rmujer,redad,rinformal,rDpto,rocu,reduca,ryear,rneduca
00500700311,0050070031101,6433.593912760417,0,56,0,Amazonas,1,5,2021,17.0
00500701211,0050070121101,1062.1658528645833,1,21,1,Amazonas,1,3,2021,11.0
00500702211,0050070221101,2224.6652018229165,0,62,0,Amazonas,1,5,2021,16.0
00500702211,0050070221102,1619.21044921875,1,61,0,Amazonas,1,4,2021,14.0
00500702211,0050070221103,0.0,0,29,0,Amazonas,2,4,2021,14.0
00500705011,0050070501101,0.0,0,88,0,Amazonas,3,2,2021,5.0
00500705011,0050070501102,0.0,1,79,0,Amazonas,3,2,2021,5.0
00500904111,0050090411101,397.5833333333333,1,62,1,Amazonas,1,1,2021,
00500904111,0050090411102,0.0,1,30,1,Amazonas,1,5,2021,16.0
00500909811,0050090981101,801.5291341145834,0,60,1,Amazonas,1,3,2021,11.0
00500909811,0050090981102,1223.1824544270833,1,43,1,Amazonas,1,3,2021,11.0
00500909811,0050090981103,645.2327473958334,1,17,1,Amazonas,1,3,2021,11.0
00500912611,0050091261101,5580.133463541667,0,57,0,Amazonas,1,3,2021,11.0
00500912611,0050091261102,1490.4166666666667,1,52,0,Amazonas,1,3,2021,9.0
00500912611,0050091261103,2009.6858723958333,0,33,0,Amazonas,1,4,2021,14.0
00500912611,0050091261104,0.0,0,23,0,Amazonas,2,3,2021,11.0
00500912611,0050091261105,0.0,0,34,1,Amazonas,1,4,2021,14.0
00501904111,0050190411101,0.0,0,70,0,Amazonas,3,2,2021,5.0
00501908511,0050190851101,0.0,1,43,0,Amazonas,3,4,2021,14.0
00501908511,0050190851102,1080.1368001302083,0,42,1,Amazonas,1,3,2021,11.0
00501911411,0050191141101,1255.22802734375,0,40,1,Amazonas,1,2,2021,0.0
00501911411,0050191141102,1304.1131998697917,1,40,0,Amazonas,1,2,2021,0.0
00501911411,0050191141103,0.0,1,18,0,Amazonas,3,3,2021,11.0
00502006811,0050200681101,179.58333333333334,0,71,1,Amazonas,1,5,2021,16.0
00502006811,0050200681102,0.0,1,62,0,Amazonas,3,2,2021,5.0
00502006811,0050200681103,336.0,0,37,1,Amazonas,1,5,2021,14.0
00502010211,0050201021101,3384.3417154947915,0,65,0,Amazonas,1,3,2021,10.0
00502010211,0050201021102,0.0,1,57,1,Amazonas,1,3,2021,7.0
00502010211,0050201021103,2176.2486979166665,1,37,0,Amazonas,1,5,2021,16.0
00502010211,0050201021106,2972.5442708333335,0,36,0,Amazonas,1,5,2021,16.0
00502015211,0050201521101,1774.0833333333333,0,63,0,Amazonas,1,2,2021,3.0
00502015211,0050201521102,0.0,1,59,0,Amazonas,3,3,2021,8.0
00502015211,0050201521103,4564.357421875,1,36,0,Amazonas,1,5,2021,16.0
00502015211,0050201521104,3157.6988932291665,0,31,0,Amazonas,1,4,2021,16.0
00502015211,0050201521107,3081.152297973633,0,29,0,Amazonas,1,5,2021,16.0
00502015211,0050201521109,0.0,1,28,0,Amazonas,3,5,2021,14.0
00502700611,0050270061101,1155.5,0,35,1,Amazonas,1,3,2021,11.0
00502700611,0050270061102,1411.5,1,30,1,Amazonas,1,4,2021,12.0
00502701811,0050270181101,2793.0833333333335,0,38,1,Amazonas,1,3,2021,8.0
00502701811,0050270181102,0.0,1,33,1,Amazonas,1,3,2021,11.0
00502704411,0050270441101,3058.3170572916665,0,61,0,Amazonas,1,4,2021,14.0
00502704411,0050270441102,2536.744140625,1,50,0,Amazonas,1,5,2021,16.0
00502704411,0050270441103,0.0,0,24,1,Amazonas,1,5,2021,13.0
00502704411,0050270441104,0.0,0,21,1,Amazonas,1,5,2021,12.0
00502705511,0050270551101,516.0850423177084,0,59,1,Amazonas,1,3,2021,11.0
00502705511,0050270551102,877.4765625,1,49,1,Amazonas,1,3,2021,11.0
00502705511,0050270551103,0.0,1,24,0,Amazonas,3,4,2021,14.0
00502705511,0050270551104,0.0,1,22,1,Amazonas,1,4,2021,14.0
00502705511,0050270551105,0.0,1,16,1,Amazonas,1,3,2021,10.0
00502706511,0050270651101,776.5694173177084,1,34,1,Amazonas,1,2,2021,0.0
00502707811,0050270781101,388.5,1,56,1,Amazonas,1,2,2021,0.0
00502707811,0050270781102,0.0,0,17,0,Amazonas,2,3,2021,7.0
00502707811,0050270781103,1015.7315266927084,1,15,1,Amazonas,1,3,2021,7.0
00503000511,0050300051101,368.9166666666667,0,50,1,Amazonas,1,4,2021,12.0
00503000511,0050300051102,729.1658528645834,1,31,1,Amazonas,1,3,2021,10.0
00503000511,0050300051103,0.0,0,14,0,Amazonas,3,3,2021,9.0
00503000511,0050300051107,807.9166666666666,0,62,1,Amazonas,1,3,2021,11.0
00503001211,0050300121101,690.6124674479166,0,68,1,Amazonas,1,2,2021,4.0
00503001211,0050300121102,444.4166666666667,1,52,1,Amazonas,1,1,2021,
00503001211,0050300121103,0.0,1,91,0,Amazonas,3,1,2021,
00503003011,0050300301101,1891.1666666666667,0,43,0,Amazonas,1,4,2021,14.0
00503003011,0050300301102,0.0,1,44,1,Amazonas,1,2,2021,0.0
00503003011,0050300301103,0.0,1,17,1,Amazonas,1,3,2021,11.0
00503003911,0050300391101,0.0,0,80,0,Amazonas,3,2,2021,2.0
00503003911,0050300391102,0.0,1,58,0,Amazonas,3,1,2021,
00503004711,0050300471101,667.5833333333334,0,65,1,Amazonas,1,2,2021,5.0
00503004711,0050300471102,914.1666666666666,1,53,1,Amazonas,1,2,2021,0.0
00503005511,0050300551101,576.4692993164062,1,87,1,Amazonas,1,1,2021,
00503005511,0050300551102,0.0,1,48,0,Amazonas,3,1,2021,
00503500511,0050350051101,0.0,0,53,0,Amazonas,2,3,2021,7.0
00503500511,0050350051102,0.0,1,40,0,Amazonas,3,2,2021,0.0
00503503211,0050350321101,1226.75,0,55,1,Amazonas,1,3,2021,11.0
00503503211,0050350321102,0.0,1,50,1,Amazonas,1,4,2021,12.0
00503504711,0050350471101,345.5,0,79,1,Amazonas,1,2,2021,5.0
00503507511,0050350751101,777.0833333333334,0,77,1,Amazonas,1,2,2021,3.0
00503507511,0050350751102,217.91666666666666,1,66,1,Amazonas,1,1,2021,
00503507511,0050350751103,0.0,1,35,1,Amazonas,1,3,2021,11.0
00503508911,0050350891101,995.0833333333334,1,36,1,Amazonas,1,3,2021,11.0
00503511711,0050351171101,345.5,1,39,1,Amazonas,1,3,2021,11.0
00503511711,0050351171102,0.0,1,15,0,Amazonas,3,3,2021,9.0
00503601411,0050360141101,2852.1246744791665,0,48,0,Amazonas,1,5,2021,17.0
00503601411,0050360141102,0.0,1,38,0,Amazonas,3,5,2021,16.0
00503601411,0050360141103,0.0,0,16,0,Amazonas,3,3,2021,11.0
00503603211,0050360321101,1725.7071940104167,0,53,0,Amazonas,1,5,2021,16.0
00503603211,0050360321102,0.0,1,42,0,Amazonas,3,3,2021,11.0
00503605211,0050360521101,1049.3876139322917,1,42,1,Amazonas,1,3,2021,10.0
00503607211,0050360721101,50.583333333333336,1,62,1,Amazonas,1,1,2021,
00503607211,0050360721102,0.0,1,41,1,Amazonas,1,2,2021,0.0
00503607211,0050360721103,436.337158203125,0,31,1,Amazonas,1,2,2021,0.0
00503607211,0050360721104,0.0,0,62,1,Amazonas,1,1,2021,
00503608911,0050360891101,2496.7605794270835,1,52,0,Amazonas,1,5,2021,16.0
00503616711,0050361671101,1346.3333333333333,1,35,1,Amazonas,1,3,2021,11.0
00503616711,0050361671102,0.0,0,17,0,Amazonas,2,3,2021,11.0
00503616711,0050361671103,0.0,0,14,1,Amazonas,1,3,2021,9.0
00503700611,0050370061101,559.3333333333334,0,69,1,Amazonas,1,4,2021,14.0
00503700611,0050370061102,884.0548502604166,1,35,1,Amazonas,1,5,2021,16.0
00503701711,0050370171101,1114.75,0,62,1,Amazonas,1,2,2021,5.0
00503701711,0050370171102,0.0,1,60,0,Amazonas,3,2,2021,5.0
00503707311,0050370731101,1403.5804850260417,1,46,1,Amazonas,1,5,2021,17.0
00503707311,0050370731102,1889.6666666666667,0,49,0,Amazonas,1,4,2021,14.0
00503709511,0050370951101,1853.6097005208333,0,43,0,Amazonas,1,4,2021,14.0
00503709511,0050370951102,2305.25,1,37,1,Amazonas,1,3,2021,11.0
00503709511,0050370951103,0.0,1,18,1,Amazonas,1,3,2021,10.0
00503801111,0050380111101,221.66666666666666,1,70,1,Amazonas,1,2,2021,3.0
00503801111,0050380111102,1085.7659505208333,1,28,0,Amazonas,1,5,2021,14.0
00503804011,0050380401101,816.0833333333334,0,66,1,Amazonas,1,2,2021,3.0
00503804011,0050380401102,0.0,1,62,0,Amazonas,2,2,2021,2.0
00503804811,0050380481101,1077.34375,0,80,1,Amazonas,1,3,2021,8.0
00503804811,0050380481102,0.0,1,81,0,Amazonas,3,2,2021,5.0
00503902211,0050390221101,3159.1666666666665,0,42,0,Amazonas,1,5,2021,16.0
00503902211,0050390221102,0.0,1,37,0,Amazonas,3,5,2021,16.0
00503902211,0050390221103,0.0,0,14,0,Amazonas,3,3,2021,8.0
00503910111,0050391011101,0.0,1,63,1,Amazonas,1,1,2021,
00503910111,0050391011102,933.0893961588541,0,85,1,Amazonas,1,2,2021,0.0
00503910111,0050391011103,1684.8333333333333,0,44,1,Amazonas,1,2,2021,0.0
00503910111,0050391011104,301.1666666666667,0,25,1,Amazonas,1,3,2021,11.0
00503911411,0050391141101,1402.6631266276042,0,30,1,Amazonas,1,4,2021,12.0
00503911411,0050391141102,0.0,1,25,1,Amazonas,1,4,2021,12.0
00504401311,0050440131101,1401.8367513020833,1,37,1,Amazonas,1,2,2021,0.0
00504401311,0050440131102,0.0,0,18,0,Amazonas,3,3,2021,8.0
00504402811,0050440281101,597.6666666666666,0,44,1,Amazonas,1,3,2021,10.0
00504402811,0050440281102,1304.7464192708333,1,17,1,Amazonas,1,3,2021,7.0
00504405911,0050440591101,999.0833333333334,0,44,1,Amazonas,1,2,2021,0.0
00504405911,0050440591102,302.75,1,47,1,Amazonas,1,2,2021,0.0
00504405911,0050440591103,0.0,0,14,0,Amazonas,3,3,2021,7.0
00504413011,0050441301101,2017.0833333333333,1,44,1,Amazonas,1,2,2021,0.0
00504413011,0050441301102,2047.1669921875,0,24,0,Amazonas,1,3,2021,11.0
00504413011,0050441301103,0.0,1,22,1,Amazonas,1,4,2021,14.0
00504501311,0050450131101,2147.6285807291665,0,52,1,Amazonas,1,2,2021,0.0
00504501311,0050450131102,0.0,1,49,0,Amazonas,3,2,2021,0.0
00504501311,0050450131103,966.9166666666666,0,22,1,Amazonas,1,3,2021,11.0
00504501311,0050450131104,967.9166666666666,0,20,1,Amazonas,1,3,2021,11.0
00504503311,0050450331101,0.0,0,76,0,Amazonas,3,5,2021,16.0
00504503311,0050450331102,0.0,1,66,0,Amazonas,3,5,2021,15.0
00504504011,0050450401101,1444.8956705729167,0,26,1,Amazonas,1,3,2021,11.0
00504504011,0050450401102,1172.4742838541667,1,21,1,Amazonas,1,4,2021,13.0
00504504711,0050450471101,3634.0242513020835,0,55,0,Amazonas,1,5,2021,16.0
00504504711,0050450471102,709.0,1,55,1,Amazonas,1,3,2021,11.0
00504504711,0050450471103,0.0,0,16,0,Amazonas,3,3,2021,10.0
00504505611,0050450561101,0.0,1,59,0,Amazonas,3,2,2021,3.0
00504505611,0050450561102,1080.9798177083333,0,21,1,Amazonas,1,3,2021,11.0
00504900311,0050490031101,367.8333333333333,0,56,1,Amazonas,1,3,2021,11.0
00504900311,0050490031102,678.25,1,56,1,Amazonas,1,2,2021,0.0
00504900311,0050490031103,0.0,0,34,1,Amazonas,1,3,2021,11.0
00504900311,0050490031104,0.0,0,18,1,Amazonas,1,3,2021,11.0
00504901911,0050490191101,417.75,1,67,1,Amazonas,1,2,2021,1.0
00504901911,0050490191102,23.416666666666668,1,44,1,Amazonas,1,2,2021,0.0
